"genes"	"custom_sample1"	"custom_sample2"	"custom_sample3"	"custom_sample4"	"custom_sample5"	"custom_sample6"	"custom_sample7"	"custom_sample8"
"AGK"	0	0.970202961170784	3.04041593625344	28.3143094105654	14.8258330225658	9.66675201062797	2.36918635657763	2.57859417885212
"ALDH3B1"	10.142936679924	30.0582495769022	14.9988370789125	0	2.63557674565585	0	13.8296414170401	0
"TTC22"	0	0	0	6.12734708986478	0	9.59750455001479	0	1.38313651372332
"PHTF2"	14.9069041997382	10.7309807851586	25.9580015325402	16.2167235976003	13.5355460588332	14.5649013121927	24.08126043807	74.5403507429448
"CCL26"	0	5.51574455768265	1.46086337780122	0	0	0	0	0
"FARP2"	10.494833343221	4.35608082290837	3.49629361583633	0	0	0	13.2845213017056	0
"USH1C"	0	0	0	0	0	0	0	0
"GGCT"	32.3036433170827	53.7353283921845	20.6368755151808	23.5109404087727	30.3851602948541	17.3031846404019	48.0634197290141	15.4961163048359
"DBF4"	37.241716789207	13.3980949163021	12.912859388942	19.4294359611601	20.1085588509897	41.4263702287771	9.68672366159284	14.1131024548376
"TBXA2R"	0	0	0	0	0	0	0	0
"IFRD1"	102.733054804613	58.3043846834979	108.820692260543	73.2812046128564	78.4309910466313	119.819283037169	95.7577592264735	81.9677721685186
"LGALS14"	0	0	0	0	0	0	0	0
"COX10"	0	7.10337221499699	1.94977837115884	6.54612138747703	7.46129234242666	3.50543185131969	6.02031141336342	18.0858864356892
"GTF2IRD1"	0	1.67761342157269	0	0	0	0	0	0
"PAF1"	46.0522030429765	13.2836787292983	24.9541491382091	27.8600905076001	28.5577682276058	28.824137097174	13.8349481465563	17.7180791321514
"VPS41"	7.24533081316774	21.722829377039	11.4500948076641	9.85789678861859	3.47408913935953	24.3029004582807	21.3230977495119	13.5930475519833
"ARHGAP44"	0	0	0	0	0	0	1.99856207779664	0
"ELAC2"	13.2236639331579	6.09540980827073	17.561479522405	9.39750503067606	9.64960898729402	11.2110385516899	8.07568020972634	10.4138478962904
"SCIN"	0	4.66008866617612	0	0	3.24480140498852	3.59103120850194	0	0
"ARSD"	0	5.53599025733896	10.5020273658212	6.29505251819569	5.35170930157565	0	3.2363265052065	3.24929576288491
"PNPLA4"	13.5941095191743	13.9176093929825	3.80652154484068	9.6006224838639	3.24480140498852	0	7.8926830679262	0
"MYH13"	0	0	0	0	0	0	0	0
"ADIPOR2"	11.8923343643214	9.97969732885241	22.7828513756192	27.7144144380785	20.0744615315131	14.4759067782029	19.8216034956307	14.6436883844303
"CDKL3"	0	5.05826949808145	0	3.6230705513285	0	4.23681613297716	1.50141004600289	0
"UPP2"	0	0	0	0	0	0	0	0
"PRSS21"	0	25.7058390897764	0	0	1.85541583310895	2.8011147220174	0	0
"MARK4"	7.5723924859702	7.2863740322592	3.8626218666004	0	0	3.79901181203124	1.25607398776527	5.66281996493411
"PROM1"	0	0	0.581596720945766	0	0	0	0	0
"CCDC124"	26.1433369589878	104.335429861826	110.664219509032	46.8170363073588	24.6985258187145	30.4163305835004	55.357398124688	34.1270245005327
"CEACAM21"	1.90526286227851	17.5779942697568	0	9.73061407806028	12.2882856322398	14.2679597466576	7.9249068474248	10.3231216831746
"PAFAH1B1"	71.3383005503303	49.3997542187247	72.3513051583898	53.8860499822804	73.4539455815125	51.4103569725321	57.5807145782827	55.4856092986219
"NOS2"	0	0	0	0	0	0	0	0
"DNAH9"	0	0	0	0	0	0	0	0
"KIAA0100"	9.20177014918309	22.7862917576759	19.4512967248506	8.71454649760306	5.83936396782057	17.2801285097325	10.2880880604337	13.8158872188065
"SLC13A2"	0	0	0	0	0	0	0	0
"GAS7"	3.13093005497032	19.820249379545	79.6094003397202	22.390908917965	3.56482128866882	3.73520209986293	16.9481796002	1.17893363371474
